ServiceTest1: [5.524276042441642, 448.0843053205625]
ServiceTest10: [-3.058359613942372, 460.0798606563329]
ServiceTest11: [-54.33881587033852, 789.6814881041589]
ServiceTest2: [-52.427849018625466, 785.0404740186254]
ServiceTest3: [-10.840125200343664, 608.5359446447882]
ServiceTest4: [-309.3995740854549, 2100.3858605944956]
ServiceTest5: [-1.7351974455387165, 459.5882203781308]
ServiceTest6: [-90.68129741746861, 857.4398241721594]
ServiceTest7: [-137.33960726894776, 1149.133343380059]
ServiceTest8: [-57.53464682418189, 798.2063215983306]
ServiceTest9: [-0.2671329965959899, 597.1388633649074]
