IG02: [-536.78351904573, 559.8405149419926]
Tomcat01: [-982.1435600180567, 994.1698976102674]
MG01: [-1907.0479464806313, 2098.5511983687024]
dockerA1: [-1392.470197456622, 1506.483051118692]
IG01: [-518.7673596419132, 540.5096916763486]
Tomcat04: [-1092.014987971552, 1117.3883908096982]
dockerB1: [-812.7538554784722, 953.3182542526295]
MG02: [-1881.665654100798, 2071.6634128824394]
dockerB2: [-750.7249537877876, 844.6216076588073]
Tomcat02: [-1057.2278622837814, 1080.2934859438913]
dockerA2: [-1065.0864549233836, 1218.2888373899762]
Tomcat03: [-1047.454887921505, 1068.271211825473]
